rentree_scolaire;uai;secteur;ips;position;appellation_officielle;libelle_academie;code_departement;libelle_departement;code_commune;libelle_commune
2023-2024;0590248Z;public;91.0;50.3498386310885,3.2842295962456927;Collège Louis Pasteur;Lille;59;Nord;59574;Somain
2023-2024;0593131H;privé sous contrat;103.6;50.62928989778109,3.107342498302463;Collège privé Saint Joseph;Lille;59;Nord;59350;Lille
2023-2024;0594297A;public;80.3;50.412707862648475,3.0535806066000877;Collège Victor Hugo;Lille;59;Nord;59028;Auby
2023-2024;0594298B;public;99.9;50.354996614883795,3.0620302418370793;Collège André Malraux;Lille;59;Nord;59329;Lambres-lez-Douai
2023-2024;0594304H;public;89.1;50.45062444729204,3.432100353409098;Collège Marie Curie;Lille;59;Nord;59526;Saint-Amand-les-Eaux
2023-2024;0620039F;public;88.4;50.08837894809274,2.9812501868009518;Collège Jacques-Yves Cousteau;Lille;62;Pas-de-Calais;62117;Bertincourt
2023-2024;0620099W;public;86.0;50.37018206962238,2.0392502614145864;Collège des 7 Vallées;Lille;62;Pas-de-Calais;62447;Hesdin
2023-2024;0622121U;privé sous contrat;111.5;50.38038661655527,2.3377303699610135;Collège privé Saint Louis;Lille;62;Pas-de-Calais;62767;Saint-Pol-sur-Ternoise
2023-2024;0622434J;public;88.5;50.727617613334296,1.6306095845429613;Collège Roger Salengro;Lille;62;Pas-de-Calais;62758;Saint-Martin-Boulogne
2023-2024;0622572J;public;84.3;50.51822811167607,1.6419865846343977;Collège Jean Jaurès;Lille;62;Pas-de-Calais;62318;Etaples